SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 12,are,8,1147,0.006974717,0.143100844,0.000998088
Southeast Article 12,at,8,1147,0.006974717,0,0
Southeast Article 12,how,8,1147,0.006974717,0.405465108,0.002828004
Southeast Article 12,most,8,1147,0.006974717,0.510825624,0.003562864
Southeast Article 12,we,8,1147,0.006974717,0,0
Southeast Article 12,will,8,1147,0.006974717,0.310154928,0.002163243
Southeast Article 13,for,8,913,0.008762322,0,0
Southeast Article 13,this,8,913,0.008762322,0.068992871,0.000604538
Southeast Article 14,china,8,671,0.011922504,1.32175584,0.015758639
Southeast Article 14,has,8,671,0.011922504,0.068992871,0.000822568
Southeast Article 14,he,8,671,0.011922504,0.310154928,0.003697823
Southeast Article 15,about,8,1985,0.004030227,0.310154928,0.001249995
Southeast Article 15,human,8,1985,0.004030227,0.916290732,0.003692859
Southeast Article 2,would,8,700,0.011428571,0.762140052,0.008710172
Southeast Article 3,are,8,768,0.010416667,0.143100844,0.001490634
Southeast Article 3,has,8,768,0.010416667,0.068992871,0.000718676
Southeast Article 3,she,8,768,0.010416667,0.762140052,0.007938959
Southeast Article 4,as,8,1151,0.006950478,0.143100844,0.000994619
Southeast Article 4,local,8,1151,0.006950478,1.609437912,0.011186363
Southeast Article 5,about,8,885,0.009039548,0.310154928,0.00280366
Southeast Article 5,by,8,885,0.009039548,0,0
Southeast Article 6,climate,8,684,0.011695906,0,0
Southeast Article 6,in,8,684,0.011695906,0,0
Southeast Article 7,from,8,1582,0.00505689,0,0
Southeast Article 7,have,8,1582,0.00505689,0,0
Southeast Article 7,he,8,1582,0.00505689,0.310154928,0.001568419
Southeast Article 7,or,8,1582,0.00505689,0.143100844,0.000723645
Southeast Article 7,was,8,1582,0.00505689,0.143100844,0.000723645
Southeast Article 9,a,8,680,0.011764706,0,0
Southeast Article 9,in,8,680,0.011764706,0,0
Southeast Article 9,on,8,680,0.011764706,0,0
Southeast Article 1,anxiety,7,1932,0.003623188,2.708050201,0.009811776
Southeast Article 1,area,7,1932,0.003623188,2.014903021,0.007300373
Southeast Article 1,be,7,1932,0.003623188,0,0
Southeast Article 1,mean,7,1932,0.003623188,1.32175584,0.00478897
Southeast Article 1,no,7,1932,0.003623188,0.762140052,0.002761377
Southeast Article 1,or,7,1932,0.003623188,0.143100844,0.000518481
Southeast Article 10,florida,7,890,0.007865169,0.916290732,0.007206781
Southeast Article 10,that,7,890,0.007865169,0,0
Southeast Article 11,at,7,748,0.009358289,0,0
Southeast Article 11,could,7,748,0.009358289,0.405465108,0.00379446
Southeast Article 12,americans,7,1147,0.006102877,1.098612289,0.006704696
Southeast Article 12,bad,7,1147,0.006102877,1.609437912,0.009822202
Southeast Article 12,can,7,1147,0.006102877,0.143100844,0.000873327
Southeast Article 12,do,7,1147,0.006102877,0.310154928,0.001892837
Southeast Article 12,it,7,1147,0.006102877,0,0
Southeast Article 12,problems,7,1147,0.006102877,1.609437912,0.009822202
Southeast Article 12,this,7,1147,0.006102877,0.068992871,0.000421055
Southeast Article 12,what,7,1147,0.006102877,0.405465108,0.002474504
Southeast Article 13,at,7,913,0.007667032,0,0
Southeast Article 13,university,7,913,0.007667032,1.098612289,0.008423095
Southeast Article 13,was,7,913,0.007667032,0.143100844,0.001097159
Southeast Article 13,world,7,913,0.007667032,0.510825624,0.003916516
Southeast Article 14,i,7,671,0.010432191,0.510825624,0.00532903
Southeast Article 14,jan,7,671,0.010432191,2.014903021,0.021019853
Southeast Article 15,article,7,1985,0.003526448,2.708050201,0.009549799
Southeast Article 15,at,7,1985,0.003526448,0,0
Southeast Article 15,countries,7,1985,0.003526448,0.916290732,0.003231252
Southeast Article 15,for,7,1985,0.003526448,0,0
Southeast Article 15,he,7,1985,0.003526448,0.310154928,0.001093745
Southeast Article 15,millions,7,1985,0.003526448,1.32175584,0.004661104
Southeast Article 15,some,7,1985,0.003526448,0.405465108,0.001429852
Southeast Article 15,table,7,1985,0.003526448,2.014903021,0.007105451
Southeast Article 15,than,7,1985,0.003526448,0.223143551,0.000786904
Southeast Article 15,us,7,1985,0.003526448,0.510825624,0.0018014
Southeast Article 2,all,7,700,0.01,0.510825624,0.005108256
Southeast Article 2,this,7,700,0.01,0.068992871,0.000689929
Southeast Article 2,we,7,700,0.01,0,0
Southeast Article 3,an,7,768,0.009114583,0.143100844,0.001304305
Southeast Article 3,leaders,7,768,0.009114583,1.32175584,0.012047254
Southeast Article 3,make,7,768,0.009114583,0.223143551,0.00203386
Southeast Article 3,nakate,7,768,0.009114583,2.708050201,0.024682749
Southeast Article 4,also,7,1151,0.006081668,0.310154928,0.001886259
Southeast Article 4,be,7,1151,0.006081668,0,0
Southeast Article 4,it's,7,1151,0.006081668,0.223143551,0.001357085
Southeast Article 4,not,7,1151,0.006081668,0.143100844,0.000870292
Southeast Article 5,said,7,885,0.007909605,0.223143551,0.001764977
Southeast Article 6,warming,7,684,0.010233918,0.223143551,0.002283633
Southeast Article 7,about,7,1582,0.004424779,0.310154928,0.001372367
Southeast Article 7,emissions,7,1582,0.004424779,1.098612289,0.004861116
Southeast Article 7,has,7,1582,0.004424779,0.068992871,0.000305278
Southeast Article 7,said,7,1582,0.004424779,0.223143551,0.000987361
Southeast Article 7,trump's,7,1582,0.004424779,1.609437912,0.007121407
Southeast Article 7,when,7,1582,0.004424779,0.510825624,0.00226029
Southeast Article 8,florida,7,680,0.010294118,0.916290732,0.009432405
Southeast Article 8,image,7,680,0.010294118,2.708050201,0.027876987
Southeast Article 9,are,7,680,0.010294118,0.143100844,0.001473097
Southeast Article 9,its,7,680,0.010294118,0.310154928,0.003192771
Southeast Article 9,said,7,680,0.010294118,0.223143551,0.002297066
Southeast Article 1,100,6,1932,0.00310559,2.014903021,0.006257463
Southeast Article 1,bull's,6,1932,0.00310559,2.708050201,0.008410094
Southeast Article 1,can,6,1932,0.00310559,0.143100844,0.000444413
Southeast Article 1,effects,6,1932,0.00310559,0.762140052,0.002366895
Southeast Article 1,expect,6,1932,0.00310559,1.32175584,0.004104832
Southeast Article 1,future,6,1932,0.00310559,1.098612289,0.003411839
Southeast Article 1,homes,6,1932,0.00310559,2.014903021,0.006257463
Southeast Article 1,much,6,1932,0.00310559,0.510825624,0.001586415
Southeast Article 1,natural,6,1932,0.00310559,0.916290732,0.002845623
Southeast Article 1,people,6,1932,0.00310559,0.405465108,0.001259208
Southeast Article 1,up,6,1932,0.00310559,0.310154928,0.000963214
