NE_articles,word,n,total,tf,idf,tf_idf
Northeast Article 13,costs,4,1826,0.002190581,0.916290732,0.002007209
Northeast Article 13,efforts,4,1826,0.002190581,0.762140052,0.001669529
Northeast Article 13,ever,4,1826,0.002190581,1.609437912,0.003525603
Northeast Article 13,future,4,1826,0.002190581,0.510825624,0.001119005
Northeast Article 13,investment,4,1826,0.002190581,1.32175584,0.002895413
Northeast Article 13,leadership,4,1826,0.002190581,2.014903021,0.004413807
Northeast Article 13,many,4,1826,0.002190581,0.405465108,0.000888204
Northeast Article 13,model,4,1826,0.002190581,2.708050201,0.005932202
Northeast Article 13,most,4,1826,0.002190581,0.762140052,0.001669529
Northeast Article 13,next,4,1826,0.002190581,0.628608659,0.001377018
Northeast Article 13,peak,4,1826,0.002190581,1.609437912,0.003525603
Northeast Article 13,plan,4,1826,0.002190581,2.014903021,0.004413807
Northeast Article 13,point,4,1826,0.002190581,1.32175584,0.002895413
Northeast Article 13,relieved,4,1826,0.002190581,2.708050201,0.005932202
Northeast Article 13,so,4,1826,0.002190581,0.405465108,0.000888204
Northeast Article 13,trump's,4,1826,0.002190581,2.014903021,0.004413807
