"NE_articles","word","n","total","tf","idf","tf_idf"
"Northeast Article 13","gdp",7,1929,0.00362882322446864,2.70805020110221,0.00982703546278666
"Northeast Article 13","has",7,1929,0.00362882322446864,0.143100843640673,0.00051928766484433
"Northeast Article 13","have",7,1929,0.00362882322446864,0.0689928714869514,0.000250362934374629
"Northeast Article 13","if",7,1929,0.00362882322446864,0.310154928303839,0.00112549740701238
"Northeast Article 13","might",7,1929,0.00362882322446864,0.916290731874155,0.0033250570881903
"Northeast Article 13","models",7,1929,0.00362882322446864,1.6094379124341,0.00584036567498118
"Northeast Article 13","paris",7,1929,0.00362882322446864,1.32175583998232,0.00479641828920489
"Northeast Article 13","policy",7,1929,0.00362882322446864,0.916290731874155,0.0033250570881903
"Northeast Article 13","would",7,1929,0.00362882322446864,0.510825623765991,0.00185369588717571
"Northeast Article 13","zach",7,1929,0.00362882322446864,2.70805020110221,0.00982703546278666
"Northeast Article 14","79",7,966,0.0072463768115942,2.70805020110221,0.0196235521819001
"Northeast Article 14","a",7,966,0.0072463768115942,0,0
"Northeast Article 14","at",7,966,0.0072463768115942,0.143100843640673,0.00103696263507734
"Northeast Article 14","budget",7,966,0.0072463768115942,2.70805020110221,0.0196235521819001
"Northeast Article 14","federal",7,966,0.0072463768115942,1.32175583998232,0.0095779408694371
"Northeast Article 14","united",7,966,0.0072463768115942,0.405465108108164,0.00293815295730554
"Northeast Article 14","we",7,966,0.0072463768115942,0.143100843640673,0.00103696263507734
"Northeast Article 15","are",7,936,0.00747863247863248,0.143100843640673,0.00107019861697085
"Northeast Article 15","nations",7,936,0.00747863247863248,0.628608659422374,0.00470113313670579
"Northeast Article 15","on",7,936,0.00747863247863248,0,0
"Northeast Article 15","will",7,936,0.00747863247863248,0.143100843640673,0.00107019861697085
"Northeast Article 15","with",7,936,0.00747863247863248,0,0
